In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
CFAP43	TWIST2	
ADD3	COL6A1	
ENO4	COL6A2	
SHTN1	S100B	
RAB11FIP2	C21orf58	
RGS10	KMO	
TACC2	ADARB1	
LOC101750892	STAT1	
LOC107053714	STAT4	
LOC107053715	DNAH7	
LOC107049019	SPATS2L	
ADAM9L	MDH1B	
ACADSB	FAM237A	
CPXM2	PARD3B	
ADAM12	ICOS	
C10orf90	CTLA4	
MKI67	LOC424109	
TCERG1L	ATF2	
STK32C	CHRNA1	
SLC40A1	WIPF1	
COL3A1	SCRN3	
FRZB	CDCA7	
CPS1	CCDC173L	
SPAG16	SPC25	
VWC2L	STK39	
BARD1	GALNT3	
MLPH	SLC38A11	
COL6A3	SLC4A10	
IQCA1	LOC429032	
TRPM8	CFAP65	
TRAF3IP1	FEV	
TWIST2	WNT10A	
COL6A1	WNT6	
COL6A2	CATIP	
C21orf58	GYPC	
KMO	ARHGEF1	
ADARB1	CFAP221	
DNAH7	C1QL2	
MDH1B	DPP10	
PARD3B	GPR39	
ZNF385B	LYPD1	
TTC30B	MAP3K19	
ATF2	ARHGAP15	
CHRNA1	ZEB2	
SCRN3	CCDC148	
CDCA7	PTPRC	
CCDC173L	DENND1B	
SPC25	ASPM	
STK39	TNFSF4	
GALNT3	FMO3	
FAP	PRRX1	
DPP4	NUF2	
SLC4A10	CENPL	
ITGB6	RALGPS2	
LOC429032	ANGPTL1	
CFAP65	GPR52	
FEV	LAMC2	
WNT10A	RGL1	
CATIP	FAM129A	
RUFY4	PLA2G4A	
GLI2	PTGS2	
ARHGEF1	LOC424473	
CFAP221	ODF2L	
C1QL2	DDAH1	
DDX18	WDR63	
DPP10	LOC101747367	
GPR39	THAP10	
LYPD1	FAM183A	
MAP3K19	CFAP57	
ARHGAP15	TCTEX1D4	
ZEB2	CCDC17	
AMY2A	LOC121113434	
VAV3	TSPAN1	
PTPRC	LOC107054051	
ATP6V1G3	STIL	
LOC121113427	SPATA6	
C1orf53	DMRTA2	
ASPM	CDKN2C	
CFH	ORC1	
RGS13	GLIS1	
CRIP1	LOC101747588	
PHGDH	NFIA	
FMO3	PATJ	
PRRX1	ANGPTL3	
KIFAP3	WDR78	
NUF2	IL23R	
CENPL	IL12RB2	
RALGPS2	CTH	
ANGPTL1	TNNI3K	
LOC424430	ERICH3	
GPR52	ARHGEF4	
LAMC2	GPC2	
RGL1	C3orf70	
PTGS2	KY	
FAM69A	PAK2	
CDC7	SNED1	
DDAH1	PASK	
WDR63	2-Sep	
FAM183A	FOXL2	
CFAP57	CLSTN2	
TMEM125	AP1S3	
TCTEX1D4	DOCK10	
CCDC17	COL4A4	
LOC121113434	SLC19A3	
RBP	DAW1	
TSPAN1	PID1	
SLC5A9	DNER	
SPATA6	TFDP2	
TTC39A	PLSCR5	
ORC1	GMNC	
GLIS1	CLDN1	
NFIA	TP63	
PATJ	MASP1	
ANGPTL3	PDCD1	
WDR78	B3GNT5	
CTH	LAMP3	
TNNI3K	LOC112533023	
ERICH3	SOX2	
ARHGEF4	ECT2	
GPC2	GPR160	
EHHADH	LRRC31	
KY	ZBBX	
SOX14	BCHE	
SNED1	SMC4	
2-Sep	MLF1	
CLSTN2	MME	
SGPP2	ERICH6	
AP1S3	TUBA3E	
DOCK10	LOC121111557	
SLC19A3	LOC101747373	
THT2L	LOC112533211	
DAW1	C15orf39	
PID1	CYP11A1	
DNER	CCDC33	
LOC770705	ZP3	
BDH1A	DAPK2	
ATP13A4	RORA	
GMNC	GCNT3	
CLDN1	MCEE	
TP63	FAM81A	
MASP1	ALDH1A2	
PDCD1	PYGO1	
AHSG	DYX1C1	
LAMP3	MYO5C	
LOC112533023	TNFAIP8L3	
SOX2	FBN1	
USP13	SHC4	
ECT2	GALK2	
SAMD7	FGF7	
LOC425001	HOMER2	
ZBBX	SAXO2	
BCHE	TMC3	
SMC4	IL16	
MLF1	CFAP161	
MME	LOC415472	
P2RY12	BCL2A1	
P2RY13	NR2F2	
ERICH6	FAM169B	
TUBA3E	PLEKHO2	
LOC112533211	MEGF11	
C15orf39	IQCH	
CYP1A1	CALML4	
CYP11A1	KIF23	
CCDC33	UACA	
ZP3	SMPD3	
DAPK2	CCDC113	
RORA	CNGB1	
ICE2	DRC7	
FAM81A	TSNAXIP1	
ALDH1A2	LOC415662	
PYGO1	RLTPR	
DYX1C1	HYDIN	
MYO5C	MLKL	
DUT	FA2H	
SHC4	DNAAF1	
GALK2	MMP2	
FGF7	RPGRIP1L	
HOMER2	SALL1	
SH3GL3	CBLN1	
SAXO2	GPT2	
CFAP161	MYLK3	
BCL2A1	SHCBP1	
HAPLN3	TSHZ3	
NR2F2	SLC7A10	
FAM169B	CES1L2	
LINS1	CES1L1	
MEGF11	LOC415787	
IQCH	CMTM3	
CALML4	DYNLRB2	
KIF23	HSD17B2	
UACA	NAT	
CCDC113	COTL1	
CNGB1	FOXL1	
DRC7	URAH	
TSNAXIP1	CDHR4	
LOC415662	LOC121106477	
LOC112533303	TRAIP	
RLTPR	DNAH1	
CLEC18B	ECM2	
TPPP3	OGN	
CALB2	FBLN2	
HYDIN	WNT7A	
FA2H	FGD3	
DNAAF1	CHDH	
MMP2	ASB14	
IRX6	DNAH12	
RPGRIP1L	CFAP100	
SALL1	TTLL8	
CBLN1	FAM107A	
GPT2	FAM3D	
MYLK3	C3orf67	
SHCBP1	FHIT	
CMTM3	SNTN	
DYNLRB2	GPR27	
SDR42E1	SHQ1	
PNAT3	GXYLT2	
NAT	PDZRN3	
ATP2C2	NRG2	
TLDC1	LOC101747310	
COTL1	PROB1	
URAH	SLC23A1	
CHTF8	RANBP17	
CDHR4	LCP2	
LOC121106477	FOXI1	
TRAIP	DOCK2	
DNAH1	HMMR	
ECM2	PTTG2	
BGN	C1QTNF2	
OGN	HRH2	
FBLN2	LOC101749502	
WNT7A	CYFIP2	
FGD3	ITK	
BICD2	HAVCR1	
CHDH	TIMD4	
DNAH12	SGCD	
CFAP100	FAT2	
LOC121106685	GFPT2	
TTLL8	MAPK9	
LOC416055	NME5	
ACOX2	FAM13B	
FAM107A	LECT2	
FAM3D	TCF7	
C3orf67	CCNI2	
SNTN	STK32A	
GXYLT2	BHLHA15	
PDZRN3	FAM20C	
LOC101747310	PDGFA	
SLC23A1	CYP3A5	
GABRP	DRC3	
LCP2	FAM83G	
FOXI1	GRAPL	
DOCK2	MAFIP	
SPDL1	SOX8	
HMMR	MSLN	
PTTG2	SYNGR3	
KIF20A	SLC5A11	
LOC101751218	PRKCB	
SPINK5	PLK1	
