Geneid	BT1	BT2	BT3	BT4	BT5	CH1	CH2	CH3	CH4	CH5	HT1	HT2	HT3	HT4	HT5	LS1	LS2	LS3	LS4	LS5	LT1	LT2	LT3	LT4	LT5	QY1	QY2	QY3	QY4	QY5
UBFD1	19.612	11.683	11.064	12.237	17.863	27.180	11.604	14.551	11.231	22.039	11.855	12.015	7.339	10.999	12.186	22.339	17.270	22.319	18.702	17.675	14.179	10.545	15.605	13.261	13.709	17.265	11.441	11.001	10.848	12.334
EARS2	1.574	3.464	2.388	2.900	2.145	3.751	4.454	4.398	3.381	3.496	2.332	2.086	2.634	2.365	3.053	4.132	2.448	3.442	1.738	3.560	3.474	3.739	3.466	2.572	4.173	2.774	4.002	3.276	2.611	2.402
GGA2	22.870	28.249	18.852	20.890	18.361	18.150	25.227	25.847	24.526	19.114	19.651	14.817	22.507	23.785	19.922	17.691	24.848	17.545	16.860	26.899	20.459	18.523	31.743	28.153	22.335	16.675	18.474	23.449	18.633	23.629
COG7	4.025	7.866	6.246	6.189	5.208	5.545	7.787	7.374	8.148	5.090	9.618	8.542	5.265	7.911	7.882	4.263	6.096	4.065	5.427	4.724	7.281	7.375	9.263	8.981	10.551	3.540	7.964	10.076	9.625	9.281
SCNN1B	21.448	24.552	7.106	11.884	15.020	16.703	14.293	18.443	18.608	18.012	4.765	4.334	8.404	15.609	18.149	15.304	12.767	13.494	13.725	9.208	16.673	12.571	17.305	17.581	32.590	15.574	16.326	6.081	7.244	21.823
SCNN1G	9.396	17.471	6.308	7.784	7.948	6.519	9.658	10.838	17.044	11.203	9.583	8.508	6.155	11.333	11.737	3.555	2.272	3.403	2.784	2.505	10.003	9.207	12.784	13.089	20.007	6.264	9.279	7.312	7.008	16.639
USP31	8.254	5.753	4.724	6.217	8.590	9.376	5.532	5.401	5.034	7.645	5.889	6.223	2.739	6.758	6.921	7.952	7.290	7.748	8.466	5.568	7.137	6.131	5.665	6.126	8.154	6.286	5.195	6.936	7.426	7.389
HS3ST2	0.690	1.576	0.512	0.903	0.633	0.900	0.550	1.230	0.895	1.903	0.367	0.575	0.191	4.311	3.505	0.975	1.792	0.870	0.000	10.784	0.296	0.464	0.478	0.589	0.059	0.156	0.146	0.533	1.071	0.205
HS3ST4	0.000	0.027	0.118	0.060	0.000	0.000	0.085	0.197	0.075	0.049	0.014	0.192	0.000	0.234	0.044	0.128	0.000	0.000	0.039	0.000	0.137	0.027	0.140	0.021	0.082	0.000	0.045	0.164	0.103	0.095
KDM8	1.675	1.749	2.422	2.476	1.390	1.528	3.076	2.095	1.854	2.282	2.602	2.273	2.025	2.281	2.272	1.836	2.228	1.275	1.980	2.073	1.953	1.809	2.346	1.991	2.678	0.903	1.556	2.698	2.051	2.527
NSMCE1	2.042	2.786	2.497	2.882	3.288	2.309	4.797	3.376	2.757	2.117	3.954	3.051	3.312	3.319	2.626	1.715	4.752	1.697	2.762	2.916	4.104	2.681	5.023	4.811	6.392	0.960	1.648	3.830	3.230	4.109
IL4R	3.687	10.404	14.062	10.952	3.783	5.111	14.282	14.651	12.157	4.438	13.244	12.808	10.173	11.990	11.332	5.216	6.246	5.156	3.508	5.128	7.129	9.770	10.325	10.096	8.404	3.762	9.048	11.588	10.656	16.305
IL21R	0.821	2.977	5.818	3.805	0.430	0.345	2.708	6.642	3.181	0.663	0.767	2.806	1.309	0.901	0.911	2.416	1.540	0.121	0.143	1.033	2.807	2.596	3.346	2.461	1.364	0.000	1.038	4.978	2.911	8.823
IL9R	0.438	0.310	0.454	0.991	0.000	0.133	0.505	0.284	0.240	0.000	0.090	0.358	0.127	0.225	0.392	0.000	0.000	0.103	0.000	0.000	0.321	0.343	0.051	0.321	0.140	0.230	0.201	0.315	0.632	1.139
PDPK1	13.142	11.822	14.226	13.086	14.672	15.099	11.635	12.667	10.130	13.456	9.561	10.357	5.460	9.331	9.723	14.631	11.667	13.605	13.866	9.766	11.560	10.434	14.104	12.733	12.268	12.648	10.566	12.016	11.047	16.666
KCTD5	14.690	11.901	15.196	14.117	14.245	15.099	11.278	9.294	10.031	10.856	10.048	10.054	5.792	10.212	9.683	17.426	17.770	14.926	14.983	13.822	12.472	10.796	12.300	11.516	12.511	13.429	11.824	12.656	11.760	15.777
UBE2I	21.989	18.163	19.926	17.963	17.689	20.492	15.504	17.437	16.300	17.141	19.579	19.286	13.738	15.035	15.403	25.439	16.415	21.111	15.704	18.797	16.117	14.675	19.277	18.477	19.719	18.835	16.000	22.074	18.190	25.991
TSR3	12.149	12.636	11.848	17.197	11.963	9.680	15.431	13.806	15.360	11.594	16.843	14.859	13.104	12.408	13.282	12.754	10.640	13.522	10.076	13.254	12.400	10.390	11.771	14.141	10.617	12.759	13.169	15.166	13.070	17.322
GNPTG	7.052	11.637	10.771	11.560	10.868	13.179	13.144	13.194	15.676	9.172	25.724	21.098	20.545	12.714	11.955	7.999	8.860	7.186	9.333	11.964	12.456	15.887	11.563	14.080	11.824	9.742	12.004	16.463	14.279	11.932
C14H16orf91	18.318	21.398	22.687	20.031	22.090	11.784	27.850	22.721	27.389	20.308	41.629	27.527	25.039	23.985	22.057	23.094	21.245	19.351	21.042	23.158	23.174	23.079	23.878	19.853	20.477	21.915	23.409	24.903	22.858	14.973
UNKL	3.931	5.412	4.773	4.503	4.727	3.273	4.235	3.719	4.772	3.581	7.684	5.491	5.758	4.165	3.532	3.402	2.625	2.847	3.145	2.975	3.523	5.025	4.003	4.714	4.663	2.213	3.638	5.441	5.407	5.272
BMERB1	30.359	4.224	2.896	8.029	20.570	27.142	6.633	4.234	2.485	22.244	1.659	2.024	0.162	4.733	4.715	17.479	38.734	26.761	41.344	27.002	14.069	3.019	9.543	6.760	14.353	31.368	28.176	2.311	1.010	5.015
